x,y
3,11
83,6
175,14
253,8
344,1
426,8
520,7
596,9
686,9
384,71
474,70
21,85
115,86
218,81
563,82
640,86
296,95
701,130
354,148
446,145
8,159
97,160
175,157
531,154
607,158
277,170
685,205
382,219
469,217
12,239
102,235
185,234
587,232
276,251
520,279
648,279
352,292
38,310
424,324
278,342
700,337
159,353
604,350
357,367
492,359
3,380
428,400
654,411
140,426
279,419
535,426
