x,y
69,6
151,6
231,10
308,6
383,8
478,8
14,61
544,56
130,85
263,78
352,80
444,79
64,123
506,126
233,147
398,144
123,173
305,174
4,189
460,190
549,189
171,234
368,234
62,249
275,248
489,264
6,308
122,303
337,306
414,307
234,323
552,322
50,373
169,366
462,370
351,382
230,413
531,408
96,433
412,432
11,444
176,475
278,471
486,474
23,521
100,519
377,515
530,537
170,550
246,549
455,547
