x,y
6,5
82,3
169,7
244,10
328,11
411,6
487,4
563,7
653,10
45,73
124,87
203,82
293,85
369,81
461,86
548,86
678,82
614,127
9,139
178,159
320,157
419,158
504,162
698,163
85,177
247,203
576,206
8,218
320,232
654,226
73,270
404,272
505,261
147,283
228,296
697,294
2,329
309,322
80,345
448,353
534,373
694,369
230,379
356,384
130,408
608,400
9,417
291,432
476,426
