x,y
5,7
100,9
188,5
266,5
355,4
440,11
523,5
608,8
702,7
48,71
232,75
124,85
308,85
408,80
494,87
569,81
653,78
8,142
186,140
354,147
683,148
83,160
264,159
445,158
534,159
608,182
9,220
172,217
387,221
491,221
694,224
247,234
82,241
562,248
321,274
639,275
12,296
175,296
427,286
84,324
259,322
532,322
682,340
350,357
17,371
147,366
593,368
429,384
219,400
292,428
505,426
651,424
